"","tweet"
"464","remember bbm voters votes saradu voters votes camps desperate deny camps afraid desperation save"
"465","oh kulay nyay pula pasok"
"466","pampagood vibes sarap tignan nanay pangulo bbm munang alamano di nasusugatan"
"467","kabadong kabado sina tao sumasalubong"
"468","take break sometime"
"469","think bbm sara smooth win wide lead people mindgo"
"470","mahirap mayaman pantay pantay silang pahirapan uniteam continue prrd legacy sara duterte"
"471","leni president stop telling im political argument opinions perspectives believe supremacy"
"472","ishare mukha jr sara duterte whole nawawala spotlight manok sina rtqrt photos kalaban tactics pass timeliness deadma"
"473","deny nanalo"
"474","respect feel pity dr ong good partner maling kandidato tumakbo mataas posisyon god bless dr ongi stand"
"475","tunay corrupt plunderers political dynasties incompetent magnanakaw convicts kaibigan child sex trafficker drug lords traitors"
"476","kawawa bbm nasugatan"
"477","obento"
"478","banat jpe majority people choosing coz senses"
"479","tiga camarines sur solid napakahabang motorcade bbm albay ndi cover biased media camsur"
"480","election proudly wearing color excitedly sarap filipino yellow"
"481","worth giving sara duterte"
"482","hahhahaha dadayain"
"483","presidente bbm original wisely bbm unite"
"484","galit galit binabayad tax dahdag tax bilihin whose mastermind behind mind"
"485","choice choosing bbm president inday sara president"
"486","bbmsara"
"487","always drag kids future presidente magulang responsible future anak beses sorry magulang presidents prrd"
"488","month go matira pct pumangalawa pct unless magdropout mahirap imakeup"
"489","legit biggest caravan manila far"
"490","listen go fucking idiot place else stop insulting sense"
"491","kaibigan mayaman mangagamit"
"492","go"
"493","attend debate coz fear losing votes fuck ups debate manood bbm bias debate asa natitirang katinuan char"
"494","bbm reply paid millions pesos attack dogs troll farms influencers dare deny know paid besides bbm coward"
"495","seen tiktok"
"496","duwag sinungaling"
"497","ekis dumidikit anak diktador sinungaling murderer iyakin duwag magnanakaw"
"498","nothing stopping marvin flight reaching next stop mars best dev team amazing community hodlers ticket flight takes"
"499","manifest"
"500","ambisyoso anak worlds greatest thief govttry igoogle konting pindut hamakikita totoo lutang momen"
"501","huyyyy igaya poon moif lutang poon"
"502","firsthand account attempt online reputation management ad agency veteran"
"503","mabuhay suportado tatay nagpapatay libolibo siguradong ulit mamamatay presidente pamumuno"
"504","coincidence think"
"505","rappler dummy money laundering held francs swiss bank"
"506","ganitong unity sinasabi"
"507","debates"
"508","paawa effect huli akto"
"509","bongbong pinagaralan"
"510","huge deal four candidates didnt attend debate"
"511","kawawa kakampinks name calling deep hearts silang kalanbanlaban tsk tsk"
"512","tumuloy kc insecurity magnanakaw insecurity reason security"
"513","nagkakaonsehan kriminal"
"514","nagkapuliki silag mugna ug storya peste"
"515","palamunin"
"516","adik pagmumukha nangingitim eyebags kakabatak"
"517","go ahead lbmers defend ipagpatuloy saysay ninyong pagsuporta"
"518","buoin laang benda"
"519","pavictim"
"520","coincidence ahaha"
"521","lbmers kayong maisip bash laman tipong kagaya magnanakaw sinungaling duwag tax evader"
"522","shoutout ibabayad artist binasta commissionedit photo"
"523","feb fast approaching evicted family obvious reasons isipisip"
"524","kanang braso hinawakan supporter bbms elected combination panelo roque worst spox sinungaling rodriguez bagay magsama poon nyang"
"525","maling kamay"
"526","accept apology know aint cave go nice cold beveridge"
"527","people keen voting documented history proven enabler"
"528","hitsura pagod kakapalusot"
"529","talga kurap politiko anib hahahha pahalata"
"530","kalaban bbm debate bbm debate cheetah kailangang patunayan hirap niyan aadjust lagi rason base galaw idolo"
"531","coming"
"532","pilit dinadown hours vp leni di namang trabaho delayed hours gabi magparally"
"533","heart goes lbm"
"534","puna bobotards dutertards alamano sararat debate nman bkit bruxism makulog lusi"
