,tweet
116,Hindi ko cya mama or nanay. Please lang Yuck! Inyong inyo na nanay Lenlen nyo. #meow #pusanggala #UniTeamBBMSARA
117,Ako ang self proclaimed number 1 pusang basher ng mga pinklawans. Bakit meron pa ba ibang pusa na active ang political views sa twitter? 😂😂😂 #UniTeamBBMSARA  ❤💚 #BBMSARA2022
118,"@iammasmaldita 🎶Ako ay Pilipino, ako ay Pilipino. Taas noo kahit kanino. Ang Pilipino ay ako🎶  Sarap pakinggan ang awit na ito. #UniTeamBBMSARA  #UniTeamMahalinNatin  #BBMIsMyPresident2022"
119,Push nyo pa na bright ang nanay nyo. Another delusion ng mga fanatics ng pinklawans formerly known as dilawans. #NoToLeniKiko2022 #UniTeamBBMSARA #BBMSARA2022  https://t.co/tSIMCDfuJs
120,Eto yun hindi pinapakita na dami ng tao sa AmorantoQC. Feeling nila ang dami na nila pumanta sa QC circle. Delusional tlaga mga anak ni Lenlen.#UniTeamBBMSARA #BBMSARA2022  https://t.co/FtzdWpprfG
121,I will never vote any yellows aka pinks. #Nototrashpolitics #YellowsandPinkMakeMeVommit #YuckLeni #UniTeamBBMSARA
122,#BBMIsMyPresident2022 #SaraIsMyVicePresident2022 #UniTeamBBMSARA  https://t.co/d1GusY83R3
123,"Para sa mga pinklawan mga cheap at hampaslupa ang supporters ni BBMSara. Kase sila lang ang mga mayayaman, disente, kagalang-galang at mahahalagang tao sa lipunan na kataastaasang mga nilalang. Delusions of grandeur. Defense mechanism ng brain nyo yan. #UniTeamBBMSARA"
124,"Ambait ng ABIAS CBN dito ha, walang nakakabit sa pangalan ni BBM na “son of dictator”. #BBMSARA2022  #UniTeamBBMSARA"
125,"To all the BBM supporters out there, can y'all please enlighten me on why you support him? I just want a proper debate. Not just the ""Leni Lugaw"" argument.  #UniTeamBBMSARA (para makita nyo to) #BBMIsMyPresident2022 (again para lang makita nyo to)"
126,#UniTeamBBMSARA #PPBM #LENIDUWAG
127,"""Paninira ba yung pag sasabi ng totoo?""  900+ cases and the trial of the century is held in the US, but none of the 900+ cases has been proven. Show us the final verdict of the supreme court stating that Marcos family is convicted then I’ll change my vote. 😏  #UniTeamBBMSARA"
128,@RiHou_18 Grabe naman #UniTeamBBMSARA wag nyo masyado gagalingan 🤪❤💚🇵🇭
129,"Being a Leni supporter will not make you look intelligent. Honestly, i see you like a terrorist. Attacking people, attacking the government. You can look down on me as a BBM supporter but that does not change who I am. #BBM #BBMIsMyPresident2022 #BBMSARAH2022 #UniTeamBBMSARA"
130,Wow! Just wow! #UniTeam na ito! QC para Marcos at Sara #BBMForPresident #UniTeamBBMSARA
131,#BBMForPresident  #BBMIsMyPresident2022  #BBMSARA2022  #BBMSaraUNITEAM  #UniTeamBBMSARA
132,#SARAIsMyVicePresident2022  #BBMIsMyPresident2022  #BBMSARA2022  #UniTeamBBMSARA
133,#BBMForPresident  #BBMIsMyPresident2022  #BBMSARA2022  #UniTeamBBMSARA  #UniteamMahalinNatin
134,#UniTeamBBMSARA #UniTeamMahalinNatin
135,"@AltOz21 Besides, i am still BBM ahahaah. Your english will not define your intelligence. Its your bad mouth.  #BBM #BBMSARA2022 #UniTeamBBMSARA #MYOB"
136,#UniTeamBBMSARA
137,#UniTeamBBMSARA #UniTeamMahalinNatin   #LENIDUWAG
138,#BBMForPresident  #BBMIsMyPresident2022  #BBMSARA2022  #UniTeamBBMSARA
139,#BBMForPresident  #BBMIsMyPresident2022  #BBMSARA2022  #UniTeamBBMSARA  Pakibasa dun s kaninang  ngcomment about sa mga Marcoses..galeng na po yan kay Atty @KimIndar @soyboy95
140,#BBMSARA2022 #UniTeamBBMSARA
141,🤣🤣🤣 #BBMForPresident  #BBMIsMyPresident2022  #BBMSARA2022  #UniTeamBBMSARA
142,"Take note, more than 20,000 supporters! Hindi yung haka haka lang na 300-600K! Bwahwhwhwhwhwhw  #UniTeamBBMSARA  https://t.co/ocUMG1KQV9"
143,Tama nga naman si TP the debate tom will be the first tapos backout mode yung apat si bbm pa nga ang aattend 🤡 plus chance nila to convince the large audience from bbm’s side so missed opportunity on their part talaga 😌    #UniTeamBBMSARA  #UniTeamMahalinNatin  #BBMSARA2022
144,#BBMSARA2022  #UNiTeamBBMSARA
145,#UniTeamBBMSARA  #UniTeamMahalinNatin
146,Watch TP's analysis re. non-appearance of some aspirants on SMNI debate.  #BangonBayanMuli  #UniTeamBBMSARA  #mahalinnatinangpilipinas    https://t.co/CdT3eyulzW
147,My President PBBM #UniTeamBBMSARA
148,#BBMparasalahat  #UniTeamBBMSARA
149,"Excited na ako sa SMNI debates tomorrow balita ko di nila alam yung mga questions, yun yung maganda makaka alaman talaga! Now I know the reason kung bakit daming nawala hahaha! QC FOR BBMSARA #UniTeamBBMSARA"
150,Isabela! Ready na ba kayo?   #BBMSARA2022  #UniTeamBBMSARA  https://t.co/1kMmFbzrXb
151,Panoorin si Sonny Trillanes Meets BBM Supporters  https://t.co/8fAlgMKvNa via @YouTube #UniTeamBBMSARA #mahalinnatinangpilipinas #BBMSARA2022
152,@bongbongmarcos ingat kayong lahat #UniTeamBBMSARA
153,@bongbongmarcos #UniTeamBBMSARA
154,@iamwhatiam30 #UniTeamBBMSARA
155,@ymojyw #UniTeamBBMSARA package deal to..
156,"we are proud to say, I AM A FILIPINO!!!!  #UniTeamBBMSARA  #BBMForPresident  #SaraForVicePresident #MahalinNatinAngPilipinas"
157,QC FOR BBMSARA #UniTeamBBMSARA
158,@MIGGY_0129 #UniTeamBBMSARA
159,BBM-SARA UNITEAM✌️👊❤️💚  Umulan umaraw solid tayo BBM.✌️  #UNITEAMsaQuezonCity #UniTeamBBMSARA  https://t.co/LyjbMAOt4Y
160,"BBM-SARA UNITEAM✌️👊❤️💚  ""Umulan umaraw solid tayo mga ka BBM""  #UNITEAMsaQuezonCity #UniTeamBBMSARA  https://t.co/gsfeG5qo57"
161,#BBMForPresident #BBMIsMyPresident2022 #BBMSARA2022  #BBMSaraUNITEAM  #UniTeamBBMSARA
162,Laglagan na ba ang #UniTeamMahalinNatin #UniTeamBBMSARA 😂🤣😂🤣😂
163,@MrCrucifixz @heisen_berg0 #UniTeamBBMSARA
164,"#BBMSARA2022 #UniTeamBBMSARA  #KulayRosasAngBukas  #LeniKiko2022  #BaBackoutMuli ??  And how true is it kaya that a camp of an aspirant asked the questions in advance and when not granted, he/she declined with your so called LAME excuses. @iMthinkingPinoy ??"
